Aal ALE 
Wucherer usurer 
Wuensche wishes 
Wuerdigung appreciation 
Wuerfel cube 
Wuermer worms 
Wuerste sausages 
Wuerze condiment 
Wuerzen seasonings 
Wueste desert 
Wuestling libertine 
Wuestlinge libertines 
Wunde wound 
Wunder marvel 
Wunsch wish 
Wuoten quotas 
Wurf throw 
Wurm worm 
Wurst SAUSAGE 
Wurzel root 
Wut rage 
Xanthippe shrew 
Xanthippen shrews 
Yacht yacht 
Zacken jags 
Zaehigkeit tenacity 
Zaehler counter 
Zaehne teeth 
Zaepfchen uvula 
Zaertlichkeit tenderness 
Zaertlichkeiten fondnesses 
Zaeune corralls 
Zahlung Donation 
Zahlungen payments 
Zahn tooth 
Zahnarzt dentist 
Zahnbuerste tooth-brush 
Zahnschmerzen toothache 
Zahnstange rack 
Zahnstocher toothpick 
Zankteufel virago 
Zapfen pin 
Zar tsar 
Zare tsars 
Zauberei necromancy 
Zaubereien necromancies 
Zauberer conjurer 
Zauberin fairy 
Zauberinnen fairies 
Zaun fence 
Zaunkoenig wren 
Zaunkoenige wrens 
Zecher toper 
Zehe toe 
Zeichen CHAR 
Zeichensaetze fonts 
Zeichenschablone template 
Zeichner drawers 
Zeichnung Painting 
Zeichnungen drawings 
Zeigefinger forefinger 
Zeiger locator 
Zeile line 
Zeilen lines 
Zeilenvorschub linefeed 
Zeilenvorschuebe linefeeds 
Zeit time 
Zeiteinteilungen timings 
Zeiten tenses 
Zeittafel timetable 
Zeitung newspaper 
Zeitungen BULLETINS 
Zeitvertreib pastime 
Zellen cells 
Zelt marquee 
Zeltbahnen canvasses 
Zelte marquees 
Zement cement 
Zensur censorship 
Zensuren censorships 
Zentren centres 
Zentrifugal- centrifugal 
Zentrum centre 
Zerstaeuber sprayer 
Zerstoerung deletion 
Zerstoerungen deletions 
Zerstueckelung fragmentation 
Zeug trinket 
Zeuge witness 
Zeugnis testimonial 
Zeugnisse testimonials 
Zi chambers 
Ziege goat 
Ziegel brick 
Ziegelstein brick 
Ziegen goats 
Ziel aim 
Ziele targets 
Zielpunkt goal 
Ziffern digits 
Zigarette cigarette 
Zigarre cigar 
Zigarren cigars 
Zigeuner gipsies 
Zimmer chamber 
Zimmerdecke ceiling 
Zimmermaedchen parlormaid 
Zimmermann carpenter 
Zinn tin 
Zirkus circus 
Zitrone LEMON 
Zitronen citrons 
Zitronensaft lemon-juice 
Zittern trepidation 
Zitze tit 
Zitzen tits 
Zobel sable 
Zoegern indecision 
Zoll Duane 
Zone area 
Zonen areas 
Zorn anger 
Zubehoer accessories 
Zucker sugar 
Zuckung convulsion 
Zuckungen convulsions 
Zuechter breeder 
Zuege lineaments 
Zuendholz match 
Zufaelle hazards 
Zufall COINCIDENCE 
Zuflucht refuge 
Zufluchten refuges 
Zufuehrung feeding 
Zug lineament 
Zugang ingress 
Zuge tractions 
Zugestaendnis concession 
Zugestaendnisse concessions 
Zugriff access 
Zuhoererschaft audience 
Zukunft Futures 
Zulage extra-pay 
Zuletzt Lastly 
Zuneigung affection 
Zunge TONGUE 
Zungen tongues 
Zurueckhaltung restraint 
Zusammenarbeit collaboration 
Zusammenfassung summary 
Zusammenhaenge coherences 
Zusammenhang coherence 
Zusammenhanglosigkeit incoherence 
Zusammenhanglosigkeiten incoherences 
Zusammensetzung composition 
Zusammenstellungen arrangements 
Zusammenstoss CLASH 
Zusatz addition 
Zuschauer bystander 
Zuschnitt tailor 
Zusicherungen confirmations 
Zustand condition 
Zustimmung Agreement 
Zustimmungen approbations 
Zuteilung ration 
Zuteilungen rations 
Zutritt admittance 
Zutritte admittances 
Zuverlaessigkeit reliability 
Zuweisung assignment 
Zuweisungen assignments 
Zwaenge coercions 
Zwang coercion 
Zwangs- forced 
Zweck purpose 
Zweifel doubt 
Zweig branch 
Zweige branches 
Zweitakt two-stroke 
Zwerchfell midriff 
Zwerchfelle midriffs 
Zwerg dwarf 
Zwerge dwarfs 
Zwiebel onion 
Zwiebeln bulbs 
Zwielicht twilight 
Zwietracht dissension 
Zwilling twin 
Zwinkern wink 
Zwischenfall incident 
Zwischenkuehler intercooler 
Zwischenlektion Intersection 
Zwischenspiel interlude 
Zwischenspiele interludes 
Zwischenstueck adaptor 
Zwischenzeit meantime 
Zyklus cycle 
Zylinder cylinder 
Zynismus cynicism 
[Vogel-]Feder feather 
ab detersschreckt 
abbrechen abort 
abbrechend aborting 
abenteuerlich adventurous 
aber but 
aberglaeubisch superstitious 
abfassen indite 
abfassend inditing 
abflachen flatten 
abfragen inquire 
abfuehren discharge 
abfuehrend laxativ 
abgebildet mapped 
abgebrochen aborted 
abgedroschen hackneyed 
abgefasst indited 
abgefragt prompted 
abgegossen decanted 
abgegrast grazed 
abgehalten detained 
abgeirrt strayed 
abgekuerzte abbreviated 
abgelegen remote 
abgelegt discarded 
abgelehnt deprecated 
abgeleitet deduced 
abgelenkt deflected 
abgeleugnet abnegated 
abgeloest redeemed 
abgeneigt averse 
abgenommen waned 
abgeprallt rebounded 
abgerackert fagged 
abgeraten dissuaded 
abgereist departed 
abgerieben towelled 
abgesahnt skimmed 
abgeschafft abolished 
abgeschirmt shielded 
abgeschnallt unstrapped 
abgeschnitten cropped 
abgeschoben deported 
abgeschraegt canted 
abgeschreckt deterred 
abgeschwaecht extenuated 
abgeschweift digressed 
abgesetzt degradet 
abgesondert isolated 
abgestimmt attuned 
abgestuerzt crashed 
abgestuft graduated 
abgestumpft deadened 
abgewaehlte deselected 
abgewandt averted 
abgewartet bided 
abgewehrt fended 
abgewertet devalued 
abgewickelt liquidated 
abgewiesen repulsed 
abgezielt tended 
abgezogen deducted 
abgiessen decant 
abgiessend decanting 
abgrasen graze 
abgrasend grazing 
abgreagieren abreact 
abhacken chopp 
abhaengen depend 
abhaengig dependent 
abhalten detain 
abhaltend detainig 
abirren stray 
abirrend straying 
abkuerzen abbreviate 
ablassen drain 
ablegend depositing 
ablehnen deprecate 
ablehnend deprecating 
ableiten derivate 
ableitend deducing 
ablenken distract 
ablenkend deflecting 
ableugnen abnegate 
abloesen unsolder 
abloesend unsoldering 
abnehmbar detachable 
abnehmen wane 
abnehmend waning 
abprallen recoil 
abprallend rebounding 
abrackern fag 
abrackernd fagging 
abraten dissuade 
abratend dissuading 
abreagierend abreacting 
abreagiert abreacted 
abreibend towelling 
abreisen depart 
abreisend departing 
abrufen fetch 
absahnen skim 
absahnend skimming 
abschaffen abolish 
abschaffend abolishing 
abscheulich abhorrent 
abschieben deport 
abschiebend deporting 
abschliessend final 
abschnallen unstrap 
abschnallend unstrapping 
abschneiden clipping 
abschneidend cutting 
abschrecken deter 
abschreckend deterrent 
abschreibend transcribing 
abschwaechen extenuate 
abschwaechend extenuating 
abschweifen digress 
abschweifend excursive 
abseits offside 
absichtlich intentional 
absolut absolute 
absondern excude 
absondernd isolating 
absteigend descending 
abstimmbar tuneable 
abstimmen tune 
abstimmend coordinating 
abstossend forbidding 
abstrahlend beaming 
abstrakt abstractly 
abstreifen wipe 
abstufen graduate 
abstufend graduating 
abstumpfen deaden 
abstumpfend deadening 
abtrennen detach 
abwaehlen deselect 
abwandeln variegate 
abwarten bide 
abwechselnd alternately 
abwegig devious 
abwehren fend 
abwehrend fending 
abweichen differ 
abweichend dissonant 
abweisen repulse 
abweisend denying 
abwenden avert 
abwendend averting 
abwerten devalue 
abwertend devaluing 
abwesend Absent 
abwickeln liquidate 
abwickelnd transacting 
abziehen deduct 
abziehend deducting 
abzielen tend 
abzielend tending 
abzweigen offset 
acht eight 
achtbar creditable 
achte eighth 
achtend esteeming 
achtet esteems 
achtsam observant 
achtzehn eighteen 
achtzehnte eighteenth 
achtzig eighty 
adressierend addressing 
adressiert addressed 
aehnlich Likewise 
aelter older 
aelteste oldest 
aeltlich oldish 
aenderbare changeable 
aendern alter 
aendernd altering 
aendert changes 
aengstlich anxious 
aergerlich angrily 
aergerlicher angrier 
aergerlichste angriest 
aergern bother 
aergernd fretting 
aergert galls 
aermer needier 
aermste neediest 
aerztlich medically 
aeussernd uttering 
aeusserst utmost 
aeussert utters 
affig apish 
afrikanisch AFRICAN 
ahnen forebode 
ahnend foreboding 
aktiv actively 
aktive active 
aktivieren activate 
aktiviert activates 
aktivierte activated 
aktualisiert updated 
aktuell actually 
aktuelle actual 
albern fatuous 
alkoholisch spirituous 
alkoholische ALCOHOLIC 
alle All 
allein alone 
alleine alone 
alles everything 
allgegenwaertig ubiquitous 
allgemein ABSTRACT 
allmaehlich gradually 
allumfassend overall 
allwissend omniscient 
alphabetisch Alphabetically 
alphanumerische alphanumeric 
als than 
alt ancient 
alternativ Alternatively 
altersschwach decrepit 
altklug precocious 
altmodisch old-fashioned 
amber amber 
ambindend tethering 
amerikanische American 
amortisierte Amortized 
amputieren amputate 
amputierend amputating 
amputiert amputates 
amputierte amputated 
amtieren officiate 
amtierend officiating 
amtiert officiates 
amtierte officiated 
amtlich official 
amuesieren amuse 
amuesierend amusing 
amuesiert amuses 
amuesierte amused 
an adoresbetet 
analog analogue 
analysieren Analyze 
analysierte analyzed 
anbeten adore 
anbetungswuerdig adorable 
anbieten offer 
anbietend offering 
anblitzen glare 
anblitzend glaring 
anbrechen broach 
anbringen attach 
andaechtig devout 
andauert persists 
andere other 
andernfalls otherwise 
anderswo elsewhere 
andeuten insinuate 
andeutend insinuating 
anecken scandalize 
aneckend scandalizing 
aneignen usurp 
anerkennend acknowledging 
anfaellig prone 
anfaenglich initially 
anfahren snub 
anfahrend snubbing 
anfeuchtend wetting 
anflehen implore 
anflehend imploring 
anfordern demand 
anfuegen annex 
anfuegend annexing 
anfuehren lead 
anfuellen fulfill 
angeberisch swankily 
angebetet adored 
angeblich alleged 
angeblitzt glared 
angeboren congenital 
angeborene innate 
angeboten offered 
angebunden tethered 
angedeutet insinuated 
angeeckt scandalized 
angefahren snubbed 
angefangen commenced 
angefeuchtet wetted 
angefordert requisited 
angefuegt annexed 
angegrenzt adjoined 
angegriffen affronted 
angehaengt adhered 
angehaengte appended 
angehaeuft accumulated 
angehalten stopped 
angeheftet clinched 
angeheitert tipsily 
angehoben lifted 
angeklagt impeached 
angeklammert clinged 
angekleidet habited 
angekocht parboiled 
angekommen arrived 
angekuendigt advertised 
angelehnt ajar 
angemasst arroganted 
angemessen adequate 
angenehm agreeable 
angenommen accepted 
angeordnet disposed 
angepackt tackled 
angepasst accomodated 
angepasste adapted 
angeprangert pilloried 
angeregt animated 
angereichert enriched 
angerempelt jostled 
angeschafft purchased 
angeschaltet powered 
angeschlagen struck 
angeschnallt strapped 
angesehen faced 
angesiedelt located 
angespielt alluded 
angespornt incited 
angesprochen accosted 
angesteckt infected 
angestiftet instigated 
angestiftete abetted 
angestrengt strained 
angewachsen increased 
angewandt applied 
angezeigt indicated 
angezogen attracted 
angezuendet kindled 
angezweifelt doubted 
angreifen affront 
angreifend affronting 
angrenzen adjoin 
angrenzend adjoining 
anhaengen APPEND 
anhaengend appending 
anhaenglich devoted 
anhaeufen pile 
anhaeufend accumulating 
anhaftend adherent 
anhaltend resting 
anheben jack 
anheften attach 
anheftend attaching 
anheimelnd quaint 
anheuern CHARTER 
anklagen accuse 
anklagend impeaching 
anklammernd clinging 
anklebend Pasting 
ankleidend habiting 
anknuepfen contacting 
ankochen parboil 
ankommen arrive 
ankommend arriving 
ankuendigen advertise 
ankuendigend advertising 
anmassen arrogante 
anmassend arroganting 
anmerkend annotating 
anmutig graceful 
annaehern appropiate 
annaehernd roughly 
annehmbar acceptable 
annehmbare acceptable 
annehmbarer receivablier 
annehmen ASSUME 
annehmend Assuming 
annulieren invalidate 
annulliert annuls 
anonym anonymous 
anordnen dispose 
anordnend disposing 
anormal anomalous 
anpackend tackling 
anpassen accommodate 
anpassend Adjusting 
anpassungsfaehig flexible 
anprangernd pillorying 
anregen animate 
anregend animating 
anreichern concentrate 
anreichernd enriching 
anrempeln jostle 
anrempelnd jostling 
ansammeln accumulate 
anscheinend apparent 
anschliessen connect 
anschnallend strapping 
ansehnlich respectable 
anspielen allude 
anspielend alluding 
anspornen incite 
anspornend spuring 
ansprechbar responsive 
ansprechen accost 
ansprechend accosting 
anspruchslos unassuming 
anstaendig decent 
anstecken infect 
ansteckend contagious 
ansteigen upswing 
anstelle instead 
anstiften abet 
anstiftend abetting 
anstoessig obnoxious 
anstossen nudge 
anstrengen strain 
anstrengend straining 
antreiben drive 
antworten reply 
antwortend answering 
antwortet answers 
antwortete replied 
anullieren annul 
anvertrauen commit 
anvertrauend entrusting 
anvertraut entrusted 
anwachsend increasing 
anwendbar applicable 
anwenden apply 
anwendend applying 
anwerfen actuate 
anwesend aboard 
anzeigen indicate 
anzeigend indicating 
anziehen attract 
anziehend attracting 
anzuenden kindle 
appetitanregend appetizing 
applaudierend applauding 
applaudiert applauds 
applaudierte applauded 
arbeiten work 
arbeitend tasking 
arbeitet operates 
arbeitete worked 
arbeitslos unemployed 
archivierende archiving 
archiviert archived 
archivierte archival 
arglistig guileful 
arglos unsuspecting 
arithmetisch Arithmetic 
arm indigent 
armselig squalid 
arrangierend arranging 
arrangiert arranges 
arretieren lock 
artig bravely 
aschig ashy 
ass ate 
astronomisch astronomical 
atemlos breathless 
atmen breathe 
atmet breathes 
atomar atomic 
atomisieren atomize 
atomisierend atomizing 
atomisiert atomized 
auch Also 
auf adjournsschiebt 
aufatmen respire 
aufatmend respiring 
aufbauen build 
aufbereiten grab 
aufbewahrt preserved 
aufbinden untie 
aufblaehen inflate 
aufblaehend inflating 
aufblasen bloat 
aufblasend bloating 
aufbrausen effervesce 
aufbrausend effervescing 
aufbrechen decamp 
aufbrechend decamping 
aufbringend sparing 
aufbuerdend imposing 
aufdecken UNHIDE 
aufdeckend disclosing 
aufdraengen obtrude 
aufdraengend obtruding 
aufdringlich gratingly 
aufdruecken imprint 
aufdrueckend imprinting 
aufeinanderfolgend sequent 
aufeinanderfolgende successive 
auferlegen enjoin 
auferlegend enjoining 
auferlegt enjoined 
auffallend conspicuous 
auffangend intercepting 
auffindbar detectable 
aufforsten reforest 
aufforstend reforesting 
auffrischen freshen 
auffrischend refreshing 
auffuellen refill 
auffuellend refilling 
aufgeatmet respired 
aufgeben abandon 
aufgebend abandoning 
aufgeblasene bloated 
aufgebraust effervesced 
aufgebrochen decamped 
aufgebuerdet imposed 
aufgebunden untied 
aufgedeckt uncovered 
aufgedraengt obtruded 
aufgedrueckt imprinted 
aufgefangen intercepted 
aufgeforstet reforested 
aufgefuellt refilled 
aufgegeben capitulated 
aufgegriffen grabbed 
aufgehakt unhooked 
aufgehoben abrogated 
aufgehoert ceased 
aufgeklaert undeceived 
aufgeklinkt unlatched 
aufgeknoepft unbuttoned 
aufgelauert waylaid 
aufgelehnt revolted 
aufgelistet listed 
aufgeloest disintagrated 
aufgemacht unclasped 
aufgemoebelt reconditioned 
aufgenommen absorbed 
aufgepulvert doped 
aufgeraeumt tidy 
aufgeregt excited 
aufgerollt unrolled 
aufgeruestet rearmed 
aufgerufen invoked 
aufgeschnuert unlaced 
aufgeschoben adjourned 
aufgeschreckt scared 
aufgesogen sponged 
aufgestiegen ascended 
aufgestossen belched 
aufgeteilt partitioned 
aufgewaermt rehashed 
aufgewandt expended 
aufgeweckt aroused 
aufgeweicht softened 
aufgewickelt coiled 
aufgewischt swabbed 
aufgezeichnet logged 
aufgezogen nurtured 
aufgliedern dissect 
aufhaengen suspend 
aufhaken unhook 
aufhakend unhooking 
aufheben abrogate 
aufhebend abrogating 
aufhellen brighten 
aufhoeren cease 
aufklaeren undeceive 
aufklaerend undeceiving 
aufklinken unlatch 
aufklinkend unlatching 
aufknoepfen unbutton 
aufknoepfend unbuttoning 
aufkommend upcomming 
auflauern waylay 
auflauernd waylaying 
auflisten list 
aufloesen disintegrate 
aufloesend disintegrating 
aufmachen unclasp 
aufmachend unclasping 
aufmerksam attentive 
aufmoebeln recondition 
aufmoebelnd reconditioning 
aufnehmen absorb 
aufnehmend absorbing 
aufpolieren refurbish 
aufpolierend refurbishing 
aufpoliert refurbished 
aufprallen thud 
aufpulvern dope 
aufpulvernd doping 
aufrecht uprightly 
aufrechterhalten uphold 
aufrechterhaltend upholding 
aufregen fluster 
aufregend exciting 
aufrichtig candid 
aufrollen unroll 
aufrollend unrolling 
aufruehrerisch seditionous 
aufruesten rearm 
aufruestend rearming 
aufrufbar callable 
aufrufen INVOICE 
aufsaessig insubordinate 
aufsaugend sponging 
aufschieben adjourn 
aufschiebend adjourning 
aufschnueren unlace 
aufschnuerend unlacing 
aufschrecken scare 
aufschreckend scaring 
aufsehenerregend startling 
aufsteigen ascend 
aufsteigende ascending 
aufstellen establish 
aufstossen belch 
aufstossend belching 
auftauchen emerge 
auftauchend emerging 
aufteilend Partitioning 
auftreten occur 
aufwachen wakeup 
aufwaermen rehash 
aufwaermend rehashing 
aufwaerts upward 
aufwecken arouse 
aufweckend arousing 
aufweichen soften 
aufweiten flare 
aufwenden expend 
aufwendend expending 
aufwendig expendable 
aufwerten valorize 
aufwickeln coil 
aufwickelnd coiling 
aufwischen swab 
aufwischend swabbing 
aufzaehlen enumerate 
aufzaehlend enumerating 
aufzeichnen log 
aufzeichnend recording 
aufziehen razz 
aufziehend razzing 
augenblicklich momentarily 
aus debarsschliesst 
ausarbeiten ELABORATE 
ausarbeitend elaborating 
ausbessern darn 
ausbessernd darning 
ausbeuten exploit 
ausbeutend exploiting 
ausbrechen erupt 
ausbrechend eruptimg 
ausbrueten incubate 
ausbruetend incubating 
ausdauern persevere 
ausdauernd perseverely 
ausdehnen distend 
ausdehnend distending 
ausdruckslos inexpressive 
ausdrueckend phrasing 
ausdruecklich explicit 
auseinandergezogen emerged 
auseinanderziehen UNCOMPRESS 
ausfragend quizzing 
ausfuehrbar feasibly 
ausfuehren accomplish 
ausfuehrend achieving 
ausfuehrlich explicitely 
ausfuellen fill 
ausgabefaehig issuable 
ausgearbeitet elaborated 
ausgebbar displayable 
ausgeben issue 
ausgebend DUMPING 
ausgebessert darnd 
ausgebeutet exploited 
ausgebreitet outspread 
ausgebrochen erupted 
ausgebruetet incubated 
ausgedehnt distended 
ausgedient veteran 
ausgedrueckt expressed 
ausgefragt quizzed 
ausgefuehrt accomplished 
ausgefuellt explained 
ausgegeben displayed 
ausgegebene outputted 
ausgeglichen balanced 
ausgegraben excavated 
ausgehalten sustained 
ausgehoehlt holed 
ausgeklammert eliminated 
ausgekundschaftet scouted 
ausgekuppelt declutched 
ausgelassen hilarious 
ausgeliefert extradited 
ausgeloescht obliterated 
ausgeloest ransomed 
ausgenommen except 
ausgepackt unwrapped 
ausgeplaudert divulged 
ausgerichtet justified 
ausgerottet eradicated 
ausgeruestet mounted 
ausgerufen exclaimed 
ausgesagt predicated 
ausgeschlossen debared 
ausgesoehnt conciliated 
ausgespuckt disgorged 
ausgestattet endowed 
ausgestellt exhibited 
ausgestossen ejaculated 
ausgestrahlt emanated 
ausgesucht picky 
ausgetauscht interchanged 
ausgetrocknet seared 
ausgewaehlt selectively 
ausgewaehlte selected 
ausgewandert emigranted 
ausgewechselt exchanged 
ausgewertet evaluated 
ausgewichen quibbled 
ausgezaehlt enumerated 
ausgezahlt disbursed 
ausgezeichnet distinguished 
ausgezeichnete signalized 
ausgiebig extensive 
ausgraben excavate 
ausgrabend excavating 
aushalten sustain 
aushaltend sustaining 
aushoehlend holing 
ausklammernd eliminating 
auskleiden line 
auskundschaftend scouting 
auskuppeln declutch 
auskuppelnd declutching 
ausladend unloading 
auslassen omit 
auslassend wreaking 
auslegend Interpreting 
ausliefern extradite 
ausliefernd extraditing 
ausloeschen obliterate 
ausloeschend extinguishing 
ausloesen ransom 
ausloesend TRIGGERING 
ausnahmslos invariably 
ausnahmsweise exceptionally 
auspacken unpack 
auspackend unwrapping 
ausplaudern divulge 
ausplaudernd divulging 
ausrichten align 
ausrotten eradicate 
ausrottend eradicating 
ausruesten equip 
ausruestend equipping 
ausrufen evoke 
ausrufend exclaiming 
ausruhen relax 
aussagend predicating 
ausschalten deactivate 
ausschliessen debar 
ausschliessend debaring 
ausschliesslich excessive 
aussen external 
aussergewoehnlich exceptional 
ausserhalb exterior 
ausserordentlich exceedingly 
aussetzen SUSPEND 
ausspucken disgorge 
ausspuckend disgorging 
ausstatten configurate 
ausstattend endowing 
ausstellend exhibiting 
ausstossen ejaculate 
ausstossend ejaculating 
ausstrahlen emanate 
ausstrahlend emanating 
austauschbar commutable 
austauschen transpose 
austauschend interchanging 
austeilen dispense 
austeilend dispensing 
austesten debug 
austrocknend searing 
auswaehlbar generic 
auswaehlbare eligible 
auswaehlen Select 
auswaerts outward 
auswechselnd exchanging 
ausweichen evade 
ausweichend eluding 
auswerten evaluate 
auswertend evaluating 
auswichend evading 
auszahlen disburse 
auszahlend disbursing 
auszeichnen signalize 
auszeichnend signalizing 
automatisch automatically 
automatisiert Automated 
backen bake 
backend baking 
backt bakes 
baden bathe 
badend bathing 
badet bathes 
baendigen subdue 
baendigt subdues 
bald soon 
ballig spherical 
banal banal 
bankrott bankrupt 
barbarisch barbarian 
barfuss bare-footed 
barhaeuptig bare-headed 
basteln tinker 
bastelnd tinkering 
bastelt tinkers 
bat begged 
bauchig bellied 
baufaellig tumbledown 
baumeln dangle 
baumelnd dangling 
baumelt dangles 
baumelte dangled 
beabsichtigen intend 
beabsichtigt intended 
beabsichtigte indented 
beachten respect 
beachtend heeding 
beachtenswert noteworthily 
beachtenswerteste noteworthiest 
beachtet heeded 
beanspruchen engross 
beanspruchend engrossing 
beansprucht engrossed 
beanspruchte claimed 
beantwortbar responsible 
beaufschlagen impinge 
beaufsichtigen oversee 
beaufsichtigend overseeing 
beaufsichtigt oversees 
beaufsichtigte overseen 
beben quake 
bebend quaking 
bebrillt bespectacled 
bebt quakes 
bebte quaked 
bedachte preconceived 
bedauere Sorry 
bedauerlich regrettable 
bedauern deplore 
bedauernd deploring 
bedauert deplores 
bedauerte deplored 
bedeckte covered 
bedenken preconceive 
bedenkend preconceiving 
bedenkenlos unscrupulously 
bedenkt preconceives 
bedeuten mean 
bedeutend mattering 
bedeutet matters 
bedeutete mattered 
bedeutungslos insignificant 
bedeutungsvoll meaningful 
bedienen operate 
bedienend valeting 
bedient valets 
bediente valeted 
bedingt conditionally 
bedingte Conditional 
bedraengen bulldoze 
bedrohen threaten 
bedrohlich threateningly 
beduerftig needily 
beeilen hasten 
beeilend hastening 
beeilt hastens 
beeilte hastened 
beeinflussen bias 
beeintraechtigen affect 
beeintraechtigend vitiating 
beeintraechtigt vitiates 
beeintraechtigte vitiated 
beenden determine 
beendend ceasing 
beendet cancels 
befaehigen qualify 
befaehigend featuring 
befaehigt featured 
befehlend bidding 
befestigen fasten 
befestigend fastening 
befestigt fastens 
befestigte fastened 
befeuchten dampen 
befeuchtend moistening 
befeuchtet dampened 
befiehlt bids 
beflecken speckle 
befleckend specking 
befleckt specked 
befohlene commanded 
befragend querying 
befragte queried 
befreien deliver 
befreiend delivering 
befreit deliveries 
befreite delivered 
befriedigen satisfy 
befriedigend contenting 
befriedigt gratifies 
befriedigte contented 
befristend reprieving 
befristet reprieved 
befuerchtend afraid 
befugt legitimated 
begabt talented 
begann begun 
begegnet encounters 
begehren covet 
begehrend covetting 
begehrt covets 
begehrte covetted 
begierig aware 
beginnen begin 
beginnend commencing 
beginnt begins 
beglaubigen accredit 
beglaubigend accrediting 
beglaubigte accredited 
begleiten accompany 
begleitend accompanying 
begleitet accompanied 
beglueckwuenschen felicitate 
beglueckwuenschend felicitating 
beglueckwuenscht felicitated 
begraben bury 
begreifen comprehend 
begreifend apprehensive 
begreift comprehends 
begrenzend confining 
begrenzt confines 
begrenzte confined 
begrenzter narrower 
begriffen comprehended 
begruendet causes 
begruessend welcoming 
begruesst welcomes 
begruesste welcomed 
beguenstigen pander 
beguenstigend pandering 
beguenstigt panders 
beguenstigte benefited 
begutachten survey 
begutachtend surveying 
begutachtete surveyed 
behaelt retains 
behaglich cosily 
behaltend retaining 
behandeln medicate 
behandelnd medicating 
behandelt handled 
behandelte medicated 
beharren insist 
beharrend persisting 
beharrlich insistent 
beharrte persisted 
behaupten allege 
behauptend alleging 
behauptet alleges 
behauptete avered 
beherrschend governmental 
beherrscht governed 
behexen bedevil 
behexend bedevilling 
behexte bedevilled 
beibehalten maintain 
beibehaltend maintaining 
beide both 
beiderseitig mutual 
beifuegend attributing 
beigefuegt affected 
beigetragen contributed 
beigetreten acceded 
beinahe nearly 
beinhalten conclude 
beiseite aside 
beispiellos unexampled 
beissend biting 
beitragen contribute 
beitragend contributing 
beitretend acceding 
beizeiten betimes 
bekannt known 
bekannte avowed 
bekanntgeben intimate 
bekanntgebend intimating 
bekanntgegeben intimated 
bekennen avow 
bekennend avowing 
bekennt avows 
beklagenswert lamentable 
beklagte bewailed 
bekleckernd blotting 
bekleckert blotted 
bekleidend vesting 
bekleidet vested 
bekommen gotten 
bekraeftigen affirm 
bekraeftigend affirming 
bekraeftigt affirms 
bekraeftigte affirmed 
belaestigen harass 
belaestigend annoying 
belaestigt harasses 
belaestigte harassed 
belagern beleaguer 
belagernd beleaguering 
belagert beleaguers 
belagerte beleaguered 
belanglos irrelevantly 
belasten encumber 
belastend encumbering 
belastet burdened 
belauschen overhear 
belauschend overhearing 
belauscht overhears 
belauschte overheared 
beleben enliven 
belebend enlivening 
belebt enlivened 
belebte vitalized 
belegen engage 
belegend allocating 
belegt allocates 
belehrt disabuses 
beleidigen insult 
beleidigt insults 
beliebt liked 
belohnen recompense 
belohnend recompensing 
belohnt recompenses 
belohnte recompensed 
bemerkenswert notable 
bemerkt perceived 
bemitleidend pitying 
bemitleidet pitied 
bemuehen endeavor 
bemuehend endeavoring 
bemueht endeavors 
bemuehte endeavored 
benachbart adjacent 
benachteiligt unprivileged 
benehmend behaving 
beneiden envy 
beneidend envying 
beneidenswert enviable 
beneidet envies 
beneidete envyed 
benoetigend needing 
benoetigt needed 
benutzen use 
benutzend using 
benutzt used 
beobachten observate 
beobachtend observating 
beobachtet observates 
beobachtete observated 
bequem modest 
beraet consults 
beratend Consultative 
berauben bereave 
beraubend bereaving 
beraubt bereaves 
beraubte bereaved 
berauschend intoxicant 
berechnen calculate 
berechnend Accounting 
berechnet accounts 
berechtigend warranting 
berechtigte warranted 
beredsam eloquent 
bereisen perambulate 
bereisend perambulating 
bereist perambulates 
bereiste perambulated 
bereitet prepares 
bereuen repent 
bereuend repenting 
bereut repents 
bereute repented 
bergab downhill 
bergan uphill 
bergen salvage 
bergend salvaging 
berichten refer 
berichtend referring 
berichtet refered 
berichtete told 
berichtigen amend 
berichtigte amended 
berieseln sprinkle 
berieselnd sprinkling 
berieselt sprinkles 
berieselte sprinkled 
beruechtigt notorious 
beruecksichtigte respected 
beruegen defraud 
beruehmt famed 
beruehrend touching 
beruehrt touched 
beruehrte contacted 
beruflich vocational 
beruhigen allay 
beruhigend appeasing 
beruhigt appeases 
beruhigte appeased 
besachlagnahmen sequestrate 
besaenftigen mollify 
besaenftigend mollifying 
besaenftigt mollified 
besann bethought 
besass possessed 
beschaedigen injure 
beschaedigend mauling 
beschaedigt corrupted 
beschaedigte mauled 
beschaeftigend employing 
beschaeftigt busy 
beschaemen abash 
beschaemend abashing 
beschaemt abashes 
beschaemte abashed 
beschattete shadowed 
bescheiden humble 
bescheinigen certificate 
bescheinigend certifying 
bescheinigt certificates 
bescheinigte certified 
beschichten face 
beschierte besmeared 
beschimpfen revile 
beschimpfend reviling 
beschimpft reviles 
beschimpfte reviled 
beschlagnahmen confiscate 
beschlagnahmend confiscating 
beschlagnahmt confiscates 
beschlagnahmte confiscated 
beschleunigen accelerate 
beschleunigend accelerating 
beschleunigende speeding 
beschleunigt accelerated 
beschleunigte quickened 
beschmieren besmear 
beschmierend besmearing 
beschmiert besmeares 
beschmierte daubed 
